Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2023-06-25,3,1554.1830072656828,98.83936988738677,,,,,,,2.8297084174669593,9.950496673583984,0.2601036049668073,326,,,,,33913,
2023-06-26,3,1564.0135214615664,134.40778114416713,,,,,,,0.6636725765654662,1.00386645351311,0.2504701381161848,431,,,,,186631,
2023-06-27,4,1559.658286584346,105.78973436383366,,,,,,,0.4848414818807613,0.8683083948859579,0.2601036049668073,306,,,,,118972,
2023-06-28,1,1555.411000817948,77.45307347900484,,,,,,,0.279470821537153,0.4640706622392895,0.2697370718174298,248,,,,,52990,
2023-06-29,,1559.086677696989,119.56438585964636,,,,,,,0.5680022022039237,1.0736683688157571,0.289003989077559,287,,,,,110092,
2023-06-30,38,1690.793089788553,2007.8215170395586,19.0,19,,,,,0.35491566498196786,1.2034432508961304,0.2504701381161848,3451,,,,,2156164,
2023-07-01,45,1682.6838767495879,2143.642475822717,11.0,10,,,,,0.48721125352318273,1.5887680869220149,0.2504701381161848,3951,,,,,2030187,
2023-07-02,44,1705.5533444151577,2665.1916779125777,19.0,19,,,,,0.6576649206175972,10.195633888244629,0.2504701381161848,4378,,,,,2385466,
2023-07-03,2,1564.6124877562577,145.3694043830926,,,,,,,0.3905150924834862,1.0736683278829677,0.2504701381161848,292,,,,,195936,
2023-07-04,5,1559.0081196766675,292.8614708322217,,,,,,,0.3362375226388115,1.0192863763497781,0.2697370718174298,613,,,,,108871,
2023-07-05,4,1561.8147583563464,193.63268369751208,,,,,,,0.2873426871927498,0.28900401256486785,0.2504701381161848,438,,,,,152473,
2023-07-06,11,1591.6983258201037,435.0951128499181,,,,,,,0.3114643842810464,0.9911851857626183,0.2601036049668073,982,,,,,616718,
2023-07-07,4,1567.8609384882952,171.66837927809283,,,,,,,0.34199522078107913,0.5586905596711492,0.2697370718174298,451,,,,,246401,
2023-07-08,3,1589.5015961447532,270.717333275999,1.0,1,,,,,0.43820797570666253,1.680713415145874,0.2504701381161848,770,,,,,582591,
2023-07-09,4,1576.2642972065203,165.8882991677193,,,,,,,0.45011989262184754,1.6251215934753418,0.28900397592466764,526,,,,,376948,
2023-07-10,43,1645.4639712298053,1597.784501608244,2.0,2,,,,,0.3082357046544442,1.1702787896615046,0.2504701381161848,3044,,,,,1182374,120067
2023-07-11,14,1598.517520406157,587.9696516271863,1.0,1,,,,,0.43602962716053445,1.23313582046248,0.2793705386680523,1305,,,,,722654,
2023-07-12,22,1644.6121125789518,987.0808824431425,8.0,8,,,,,0.31143559898836903,1.2639331870699013,0.2504701381161848,1816,,,,,1438738,
2023-07-13,7,1556.3582108154098,369.50371757720694,,,,,,,0.34014116313928694,1.0529184475180824,0.28900398564210217,812,,,,,67705,
2023-07-14,,1559.139718882032,97.68335386531207,,,,,,,0.28267180401974673,0.3159264312801568,0.2504701381161848,343,,,,,110916,
2023-07-15,7,1572.8185512898267,292.47205358489884,,,,,,,0.28981153451643415,0.5792953340017979,0.2697370718174298,758,,,,,323418,
2023-07-16,18,1613.9447791380835,992.0235117810957,9.0,9,,,,,0.5314136577843094,1.3239582431364387,0.28900397592466764,1838,,,,,962319,
2023-07-17,3,1556.3601419265162,191.89865966440004,,,,,,,0.27864144440438443,0.4714791977156511,0.2504701381161848,421,,,,,67735,
2023-07-18,11,1591.7867735648688,458.7498598015024,,,,,,,0.370176359812733,1.2247562264009568,0.2697370718174298,948,,,,,618092,
2023-07-19,44,1727.6064623456818,2190.1426059454834,14.0,14,,,,,2.7431592133352747,9.529999732971191,0.2601036049668073,3800,,,,,2728065,
2023-07-20,83,1811.6284705318046,4174.65190052047,38.0,38,,,,,0.47038424671520024,1.5012980724674219,0.24533446988002952,6794,,,,,4033355,
2023-07-21,63,1811.2337034848147,3299.0002633388362,26.0,26,,,,,0.4915504777546257,1.3870433185858022,0.2697370718174298,5424,,,,,4027220,
